Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Prairie cinquefoil, Tall cinquefoil, Tall potentilla, 	Potentilla arguta	Drymocallis arguta, commonly known as the tall cinquefoil, sulphur cinquefoil or sticky cinquefoil, is a perennial plant in the Rosaceae family of flowering plants native to North America. It was formerly included with the typical cinquefoils in the genus Potentilla. D. arguta is thought to be a protocarnivorous plant. In a 1999 experiment, several plants in the Pacific Northwest were tested for the carnivorous syndrome, using the digestion of proteins as the diagnostic tool to determine which plants appeared to produce protease enzymes capable of breaking down potential prey. D. arguta displayed a capability to digest and absorb the 14C-labeled  algal protein placed on its sticky trichomes. However, it is not known  whether the digestive enzymes were produced by the plant itself or  surface microbes.[1]			Drymocallis agrimonioides, Drymocallis arguta, Geum agrimonioides	Rose (Rosaceae)	native								white, yellow	cyme	radial	5	Jun, Jul	alternate	pinnate	divided, ovate, elliptic	coarsely toothed	yes	branched	round	fuzzy	64, 28	upright no/few branches	bunches, singular		
Sulfur cinquefoil, Sulfur five-fingers, Rough-fruited cinquefoil	Potentilla recta	Potentilla recta (Sulphur Cinquefoil or Rough-fruited Cinquefoil) is a species of cinquefoil. It is native to Eurasia but it is present in North America as an introduced species, ranging through almost the entire continent except the northernmost part of Canada and Alaska. The plant probably originated in the Mediterranean Basin, and it was first collected in the 19th century in Ontario and in 1914 in British Columbia.[1] It is known as a minor noxious weed in some areas.[1] It occurs in many types of habitat, including disturbed, weedy places. This perennial herb is a tufted plant growing from a woody taproot or caudex.  It produces upright to erect leafy stems up to 80 centimeters tall. The  leaves are palmate, divided into usually 6 or 7 leaflets, sometimes up  to nine. The green to yellow-green leaves may be up to 15 centimeters  long, with the central leaflet reaching 8 centimeters in length. The  leaflets are hairy in texture and toothed along the edges. The inflorescence  is a cyme of several flowers which are generally light to pale yellow  in color, with white to gold-flowered individuals occurring at times.  The plant may reproduce by seed or vegetatively by sprouting new shoots from its caudex.[1]			Potentilla pilosa, Potentilla sulphurea	Rose (Rosaceae)	nonnative								yellow	cyme	radial	5	Jun, Jul, Aug	alternate	trifoliate, palmate	divided, obovate	coarsely toothed	yes	branched	round	hairy	58, 30	upright no/few branches, upright branching	bunches, singular		
Common cinquefoil, Old field five-fingers, Old field cinquefoil	Potentilla simplex					Rose (Rosaceae)	native								yellow	solitary	radial	5	Apr, May, Jun	alternate	palmate	divided, ovate	coarsely toothed	yes	branched	round	hairy	41, 36	upright no/few branches, upright branching	bunches, singular		
Heal-all, Lawn prunella, Selfheal	Prunella vulgaris	Prunella vulgaris grows 5 to 30 cms high[2] (2-12inches), with creeping, self-rooting, tough, square, reddish stems branching at leaf axis.[3] The leaves are lance shaped, serrated, and reddish at tip, about 2.5  cms (1 inch) long and 1.5 cms (half an inch) broad, and growing in  opposite pairs down the square stem.[3]  Each leave has 3-7 veins that shoot off of the middle vein to the  margin. The stalks of the leaves are generally short, but can be up to 5  cms (2 inches) long.[4] The flowers grow from a clublike, somewhat square, whirled cluster;  immediately below this club are a pair of stalkless leaves standing out  on either side like a collar. Flowers are two lipped and tubular. The  top lip is a purple hood, and the bottom lip is often white; it has  three lobes with the middle lobe being larger and fringed upwardly.  Flowers bloom at different times depending on climate and other  conditions, but mostly in summer (from June to August in the USA).[3] Self-heal propagates both by seed and vegetatively by creeping stems that root at the nodes.[5]			Prunella parviflora, Prunella pennsylvanica	Mint (Lamiaceae)	native								blue, purple	spike, head	bilateral	5	Jun, Jul, Aug, Sept, Oct	opposite	simple	lanceolate, ovate, oblong	entire, coarsely toothed	yes	branched	ridged, square	hairy	28, 25	upright no/few branches, upright branching	bunches, singular		
Common mountain mint, Virginia mountain mint	Pycnanthemum virginianum	Pycnanthemum virginianum (Virginia mountain mint) is a plant in the mint family, Lamiaceae. It is a herbaceous plant with narrow, opposite, simple leaves,  on wiry, green stems. The flowers are white with purplish spotting,  borne in summer. Like most plants in the genus, the foliage has a strong  mint fragrance when crushed or disturbed. It is native to the eastern  United States.[1]				Mint (Lamiaceae)	native								white	cyme	bilateral	5	Jul, Aug, Sept	opposite	simple	lanceolate, linear	entire	no	parallel, branched	square	hairy	91, 30	upright no/few branches, upright branching	bunches, singular		
Yellow coneflower, Globular coneflower, Gray-headed coneflower	Ratibida pinnata	Ratibida pinnata is a species of flowering plant in the aster family known by the common names pinnate prairie coneflower, gray-head coneflower, yellow coneflower, and prairie coneflower. It is native to the central and eastern United States and Ontario in Canada.[1][2] This species is a perennial herb which can well exceed one meter in height. It has fibrous roots and rhizomes or woody caudices.  The rough-haired, glandular leaves are up to 40 centimeters long and  are divided into several large lance-shaped or oval lobes. The inflorescences are tall, generally far above the highest leaves. Each flower head  contains up to 15 yellow ray florets up to 6 centimeters long. The  center of the flower is globular or oval in shape and measures up to 2.5  centimeters long. It is covered in up to 200 or more disc florets which  are yellow-green to purplish in color.[1] The disc heads have a scent reminiscent of anise when crushed.[3][4] This plant grows in prairies,  on the margins of woods, and on roadsides. It can grow in moist or dry  habitat. It is hardy and not easily outcompeted by other plants.[3]			Lepachys pinnata, Rudbeckia pinnata	Aster, Daisy (Asteraceae)	native								yellow	head	radial	more	Jun, Jul, Aug	alternate	pinnate	divided, lanceolate	coarsely toothed	yes, no	branched	ridged, round	fuzzy, hairless	109, 30	upright no/few branches, upright branching	bunches, singular		
Black locust	Robinia pseudoacacia	With a trunk up to 0.8 m diameter (exceptionally up to 52 m tall[2] and 1.6 m diameter in very old trees), with thick, deeply furrowed blackish bark. The leaves are 10–25 cm long, pinnate with 9–19 oval leaflets,  2–5 cm long and 1.5–3 cm broad. Each leaf usually has a pair of short  spines at the base, 1–2 mm long or absent on adult crown shoots, up to  2 cm long on vigorous young plants. The intensely fragrant (reminiscent  of orange blossoms) flowers are white to lavender or purple, borne in pendulous racemes 8–20 cm long, and are edible. The fruit is a legume 5–10 cm long, containing 4–10 seeds. Although similar in general appearance to the honey locust,  it lacks that tree's characteristic long branched thorns on the trunk,  instead having the pairs of short spines at the base of each leaf; the  leaflets are also much broader.  				Bean, Pea (Fabaceae)	nonnative	invasive, hazardous							white	raceme	bilateral		May, Jun	alternate	pinnate	divided, oblong	entire	yes	branched	ridged, round	prickly, hairless	711, 500	upright no/few branches, upright branching	bunches, singular		
Multiflora rose	Rosa multiflora	Rosa multiflora, commonly known as multiflora rose,[1] baby rose,[1] Japanese rose,[1] many-flowered rose,[1] seven-sisters rose,[1] Eijitsu rose, is a species of rose native to eastern Asia, in China, Japan and Korea. It should not be confused with Rosa rugosa, which is also known as "Japanese rose". It is a scrambling shrub climbing over other plants to a height of 3–5 m, with stout stems with recurved thorns (sometimes absent). The leaves are 5–10 cm long, compound, with 5-9 leaflets and feathered stipules. The flowers are produced in large corymbs, each flower small, 1.5–4 cm diameter, white or pink, borne in early summer. The hips are reddish to purple, 6–8 mm diameter.			Rosa cathayensis	Rose (Rosaceae)	nonnative	invasive							white	panicle	radial	5	May, Jun, Jul	alternate	pinnate	divided, obovate	finely toothed	yes	branched	round	hairy, hairless, prickly	81, 33	upright no/few branches, upright branching	bunches, patches, singular		
Black-eyed Susan	Rudbeckia hirta	It is an upright annual (sometimes biennial or perennial) growing 30–100 cm (12–39 in) tall by 30–45 cm (12–18 in) wide. It has alternate, mostly basal leaves 10–18 cm long, covered by coarse hair, with stout branching stems and daisy-like, composite  flowers appearing in late summer and early autumn. In the species, the  flowers are up to 10 cm (4 in) in diameter, with yellow ray-florets  circling conspicuous brown or black, dome-shaped disc-florets.[1] However, extensive breeding has produced a range of sizes and colours, including oranges, reds and browns.[2]			Rudbeckia bicolor, Rudbeckia lanceolata, Rudbeckia longipes, Rudbeckia serotina, Rudbeckia sericea, Rudbeckia serotina	Aster, Daisy (Asteraceae)	native	hazardous							yellow	head	radial	more	Jun, Jul, Aug, Sept, Oct	alternate	simple	lanceolate, oblong, ovate, elliptic	coarsely toothed, entire	yes, no	branched, parallel	round	hairy, fuzzy	91, 33	upright no/few branches, upright branching	bunches, singular		
Wild petunia, Hairy wild petunia, Fringe-leaf ruellia, Hairy ruellia	Ruellia humilis	Ruellia humilis (wild petunia,[1] fringeleaf wild petunia, hairy petunia, low wild petunia)[2] is a species of flowering plant in the Acanthaceae, the acanthus family. It is native to the eastern United States.[1] It is grown as an ornamental plant.[3]			Ruellia ciliosa	Acanthus (Acanthaceae)	native	endangered							pink, purple	spike, solitary	radial	5	Jun, Jul, Aug	opposite	simple	ovate, lanceolate	entire	yes	branched	round, ridged	hairy	25, 13	upright no/few branches, upright branching	bunches, singular		
Curly dock, Curled dock, Sour dock	Rumex crispus	The mature plant is a reddish brown color, and produces a stalk that grows to about 1 m high. It has smooth leaves shooting off from a large basal rosette,  with distinctive waved or curled edges. On the stalk flowers and seeds  are produced in clusters on branched stems, with the largest cluster  being found at the apex. The seeds are shiny, brown and encased in the calyx  of the flower that produced them. This casing enables the seeds to  float on water and get caught in wool and animal fur, and this helps the  seeds to spread to new locations.[2] The root-structure is a large, yellow, forking taproot.			Rumex elongatus	Buckwheat (Polygonaceae)	nonnative	potentially invasive							green, yellow	panicle	bilateral	6	Jun, Jul, Aug	alternate	simple	lanceolate, cordiform	wavy, coarsely toothed	yes	branched	ridged, round	hairless	84, 33	upright no/few branches	bunches, singular		
Wild senna, Northern wild senna, American wild sensitive plant	Senna hebecarpa	Senna hebecarpa (American senna or wild senna) is a species of legume native to eastern North America. It is cultivated as an ornamental plant.			Cassia hebecarpa	Senna (Caesalpiniaceae)	native								yellow	panicle	radial	5	Jul, Aug	alternate	pinnate	divided, oblong	entire	yes	branched	ridged, round	hairy, hairless	142, 41	upright no/few branches, upright branching	bunches, singular		
campion	Silene latifolia	Silene latifolia (formerly Melandrium album), or White Campion, is a dioecious flowering plant in the family Caryophyllaceae, native to most of Europe, Western Asia and Northern Africa. It is a herbaceous annual, occasionally biennial or a short-lived perennial plant, growing to between 40-80 centimetres tall. Each petal is deeply notched (Wenas Wildlife Area). The appearance depends on the age of the plant; when young they form a basal rosette of oval to lanceolate leaves 4-10 cm long, and when they get older, forked stems grow from these, with leaves in opposite pairs. The flowers grow in clusters at the tops of the stems, 2.5-3 cm diameter, with a distinctive inflated calyx  and five white petals, each petal deeply notched; flowering lasts from  late spring to early autumn. The entire plant is densely hairy.  Occasional plants with pink flowers are usually hybrids with Red Campion (S. dioica).			Lychnis alba, Lychnis pratensis, Lychnis vespertina, Lychnis X loveae, Melandrium album, Silene alba, Silene pratensis	Pink (Caryophyllaceae)	nonnative								white	panicle	radial	5	Jun, Jul, Aug, Sept, Oct	opposite	simple	spatulate, obovate	entire	no, yes	branched	round	hairy	66, 30	upright no/few branches, upright branching	bunches, singular		
Rosinweed, Prairie rosinweed, Whole-leaf rosinweed	Silphium integrifolium	This species is a perennial herb growing from a fibrous root system and producing stems up to 2 meters tall.[3] It can form a large clump of up to 100 stems.[4]  The stems are hairless to slightly rough-haired, and sometimes waxy in  texture. The leaves are oppositely arranged on the stems. The basal  leaves are lost by maturity. The leaf blades are lance-shaped to ovate,  smooth-edged or toothed, hairless to rough-haired, and up to about 23  centimeters long.[3] The inflorescence holds one to 15 flower heads.[4] The head is lined with 2 or 3 rows of phyllaries  which are hairless or rough and sometimes glandular. The head has up to  36 yellow ray florets and many yellow disc florets. The fruit has a  short pappus.[3] There are two varieties of the species:[3] S. integifolium var. integrifolium – 40 centimeters to 2 meters in heightS. integifolium var. laeve – generally 1 to 1.5 meters tall, with more florets and hairless leaves			Silphium laevigatum	Aster, Daisy (Asteraceae)	native								yellow	cyme	radial	more	Jul, Aug, Sept	opposite	simple	lanceolate, ovate, cordiform	entire, finely toothed	no	branched	round	fuzzy, hairless	142, 30	upright no/few branches	bunches, singular		
Compass Plant	Silphium laciniatum	Silphium laciniatum is a species of flowering plant in the aster family, Asteraceae, known commonly as compass plant or compassplant. This plant is a taprooted  perennial herb producing rough-haired stems usually one to three meters  tall. The leaves are variable in shape and size, being 4 to 60  centimeters long and one to 30 centimeters wide. The are hairy,  smooth-edged or toothed, and borne on petioles or not. The back of the flower head has layers of rough, glandular phyllaries.  The head contains 27 to 38 yellow ray florets and many yellow disc  florets. The fruit is a cypsela which can be almost 2 centimeters long  and is tipped with a pappus of two short awns.[5]				Aster, Daisy (Asteraceae)	native								yellow	raceme	radial	more	Jun, Jul, Aug, Sept	alternate	simple	lobed	lobed	yes	branched	round	hairy	198, 56	upright no/few branches	bunches, singular		
Cup plant, Indian cup	Silphium perfoliatum	Silphium perfoliatum (cup plant) is a species of flowering plant in the Asteraceae family, native to eastern and central North America. It is an erect herbaceous perennial with triangular toothed leaves, and daisy-like yellow composite flower heads in summer.[1] The specific epithet perfoliatum means "through the leaf."[2] There are two varieties:- S. perfoliatum var. connatumS. perfoliatum var. perfoliatum.[3]				Aster, Daisy (Asteraceae)	native								yellow	cyme, raceme	radial	more	Jul, Aug, Sept	opposite	simple	cordiform	coarsely toothed	no	branched	square	hairless	198, 56	upright no/few branches	bunches, singular		
Prairie dock, Basal-leaved rosinweed, Prairie rosinweed	Silphium terebinthinaceum				Silphium rumicifolium	Aster, Daisy (Asteraceae)	native								yellow	raceme, panicle	radial	more	Jul, Aug, Sept	basal	simple	cordiform	coarsely toothed	yes	branched	round	hairless	198, 56	upright no/few branches	bunches, singular		
California rape, Charlock mustard	Sinapis arvensis	Sinapis arvensis reaches on average 20–80 centimetres  (7.9–31 in) of height, but under optimal conditions can exceed one  meter. The stems are erect, branched and striated, with coarse spreading  hairs especially near the base. The leaves are petiolate with a length of 1–4 centimetres (0.39–1.6 in). The basal leaves are oblong, oval, lanceolate, lyrate, pinnatifid to dentate,  4–18 centimetres (1.6–7.1 in) long, 2–5 centimetres (0.79–2.0 in) wide.  The cauline leaves are much reduced and are short petiolate to sessile  but not auriculate-clasping. The inflorescence is a raceme made up of yellow flowers having four petals. The fruit is a silique  3-5 cm long with a beak 1-2 cm long that is flattened-quadrangular. The  valves of the silique are glabrous or rarely bristly, three to five  nerved. The seeds are smooth 1-1.5 mm in diameter. Flowering occurs from May to September. The flowers are pollinated by various bees and flies (entomophily). Sinapis arvensis is the host plant of the caterpillars of some Lepidoptera, such as the Small White (Pieris rapae). It contains chemicals of the class glucosinolates, including sinalbin.			Brassica arvensis, Brassica kaber	Mustard (Brassicaceae)	nonnative	hazardous							yellow	raceme	radial	4	May, Jun, Jul	alternate	simple	spatulate	coarsely toothed	yes	branched	round, ridged	hairy	64, 30	upright no/few branches, upright branching	bunches, singular		
Hedge-mustard	Sisymbrium officinale	Hedge mustard (Sisymbrium officinale) is a plant in the family Brassicaceae.  It is found on roadsides and wasteland, and as a weed of arable land. A  native of Europe and North Africa, it is now well-established  throughout the world. It is distinct from the Mustard plants which belong to the genus Brassica. The Hedge-mustard is food for the caterpillars of some Lepidoptera, such as the Small White (Pieris rapae).			Erysimum officinale	Mustard (Brassicaceae)	nonnative								yellow	raceme	radial	4	May, Jun, Jul, Aug, Sept	alternate	simple	lobed, divided	coarsely toothed, wavy	no, yes	branched	round	hairy, hairless	61, 25	upright no/few branches, upright branching	bunches, singular		
Canada goldenrod, Canadian goldenrod, Common goldenrod	Solidago canadensis	Solidago canadensis (Canada golden-rod, Canada goldenrod) is an herbaceous perennial plant of the family Asteraceae native to North America. It is often grown as a wildflower. The plant is erect, often forming colonies. Flowers are small yellow heads held above the foliage on a branching inflorescence.			Solidago altissima, Solidago gilvocanescens, Solidago pruinosa, Solidago elongata, Solidago lepida, Solidago serotina, Solidago hirsutissima, Solidago lunellii, Solidago procera	Aster, Daisy (Asteraceae)	native								yellow	panicle	radial	more	Jul, Aug, Sept, Oct	alternate	simple	lanceolate, linear	finely toothed	no	parallel, branched	round	hairless, fuzzy, hairy	135, 28	upright no/few branches, upright branching	bunches, singular, patches		
Early goldenrod	Solidago juncea	Solidago juncea (Early goldenrod, Plume golden-rod, Yellow tops) is an herbaceous perennial plant of the family Asteraceae native to Canada and the United States. It is often grown as a wildflower.			Solidago arguta	Aster, Daisy (Asteraceae)	native								yellow	panicle	radial	more	Jun, Jul, Aug, Sept	alternate	simple	linear, elliptic	finely toothed	yes, no	parallel, branched	round	hairless	61, 25	upright no/few branches, upright branching	bunches, singular		
Goldenrod (riddell's)	Solidago riddellii				Oligoneuron riddellii	Aster, Daisy (Asteraceae)	native								yellow	corymb	radial	more	Aug, Sept, Oct	alternate	simple	linear	entire	no, yes	parallel, branched	round	hairless	61, 25	upright no/few branches, upright branching	bunches, singular		
Stiff goldenrod, Rigid goldenrod, Hard-leaved goldenrod	Solidago rigida				Oligoneuron canescens, Oligoneuron corymbosum, Oligoneuron rigidum, Solidago canescens, Solidago jacksonii, Solidago parvirigida, Oligoneuron grandiflorum, Solidago grandiflora	Aster, Daisy (Asteraceae)	native								yellow	corymb		more	Jul, Aug, Sept, Oct	alternate, basal	simple	elliptic, lanceolate	finely toothed	no, yes	branched	round	hairy	119, 30	upright no/few branches	bunches, singular		
Showy goldenrod	Solidago speciosa	Solidago speciosa, or Showy Goldenrod, is a flowering plant in the United States.			Solidago castrensis, Solidago jejunifolia, Solidago uliginosa, Solidago rigidiuscula, Solidago conferta, Solidago harperi	Aster, Daisy (Asteraceae)	native								yellow	panicle		more	Aug, Sept, Oct	alternate	simple	lanceolate, elliptic	entire, finely toothed	no, yes	branched	round	hairless	132, 36	upright no/few branches, upright branching	singular, bunches		
Common sow thistle, Field sow thistle	Sonchus oleraceus	Sonchus oleraceus (common sowthistle,[1] sow thistle,[2] smooth sow thistle, annual sow thistle, hare's colwort, hare's thistle, milky tassel, swinies) is native to Asia and Europe. The Latin name Sonchus refers to the hollow stem, while oleraceus refers to its good taste.[3] The common name sow thistle refers to its attractiveness to swine, and the similarity of the leaf to younger thistle plants. The common name hare's thistle refers to its beneficial effects and attractiveness for hare and rabbits				Aster, Daisy (Asteraceae)	nonnative								yellow	cyme, corymb	radial	more	Jul, Aug, Sept, Oct	alternate	simple	lobed, divided	lobed, coarsely toothed	no	branched	round	hairless	132, 38	upright no/few branches, upright branching	bunches, singular		
Drummond's aster, Hairy heart-leaved aster	Symphyotrichum drummondii 				Aster drummondii, Aster sagittifolius, 	Aster, Daisy (Asteraceae)	native								blue, white, purple	panicle	radial	more	Aug, Sept, Oct	alternate	simple	cordiform, ovate	finely toothed	yes	branched	round	hairy, fuzzy	71, 23	upright no/few branches, upright branching	bunches, singular		
Heath, Many-flowered aster	Symphyotrichum ericoides	Symphyotrichum ericoides, syn. Aster ericoides (common name white aster or heath aster), is a species of flowering plant in the family Asteraceae, native to much of North America, as well as northern Mexico. It has also been introduced to many areas beyond its native range.  It is an herbaceous perennial, characterised by its white or rarely pinkish, daisy-like composite flowerheads with yellow centres that appear in late summer through fall (autumn).[2][3]			Aster ericoides, Aster multiflorus, Aster polycephalus, Lasallea ericoides, Virgulus ericoides	Aster, Daisy (Asteraceae)	native								white	panicle	radial	more	Aug, Sept, Oct	alternate	simple	linear	entire	no	branched	round	hairy	71, 15	upright no/few branches, upright branching	bunches, singular		
Hairy aster, Frost aster, Heath aster, Awl aster, White old field aster	Symphyotrichum pilosum	Symphyotrichum pilosum, previously Aster pilosus, of the family Asteraceae is a flower located in Canada and the United States. Hairy Aster and Frost Aster are its common names.[1]			Aster ericoides, Aster pilosus, Aster villosus, Aster faxonii, Aster polyphyllus, Aster pringlei	Aster, Daisy (Asteraceae)	native								white	raceme, panicle	radial	more	Aug, Sept, Oct, Nov	alternate	simple	lanceolate, linear	entire	no, yes	branched	round	hairy	114, 33	upright no/few branches, upright branching	bunches, singular		
Yellow pimpernel	Taenidia integerrima				Smyrnium integerrimum	Parsely, Carrot (Apiaceae)	native								yellow	umbel	radial	5	May, Jun	alternate	pinnate, trifoliate	divided, oblong, obovate	entire	yes, no	branched	round	hairless	81, 28	upright no/few branches, upright branching	bunches, singular		
Common dandelion	Taraxacum officinale	Taraxacum officinale grows from generally unbranched taproots  and produces one to more than ten stems that are typically 5 to 40 cm  tall, but sometimes up to 70 cm tall. The stems can be tinted purplish,  they are upright or lax, and produce flower heads that are held as tall  or taller than the foliage. The foliage is upright-growing or  horizontally orientated; the leaves have petioles that are either  unwinged or narrowly winged. The stems can be glabrous or sparsely  covered with short hairs. Plants have milky latex  and the leaves are all basal; each flowering stem lacks bracts and has  one single flower head. The yellow flower heads lack receptacle bracts  and all the flowers, which are called florets, are ligulate and bisexual. The fruits are mostly produced by apomixis.[6] The leaves are 5 to 45 cm long and 1 to 10 cm wide, and are  oblanceolate, oblong, or obovate in shape, with the bases gradually  narrowing to the petiole. The leaf margins are typically shallowly lobed  to deeply lobed and often lacerate or toothed with sharp or dull teeth.[6] The calyculi (the cuplike bracts that hold the florets) are composed  of 12 to 18 segments: each segment is reflexed and sometimes glaucous.  The lanceolate shaped bractlets are in two series, with the apices  acuminate in shape. The 14- to 25-mm wide involucres are green to dark  green or brownish-green, with the tips dark gray or purplish. The  florets number 40 to over 100 per head, having corollas that are yellow  or orange-yellow in color. The fruits, called cypselae, range in color from olive-green or  olive-brown to straw-colored to grayish, they are oblanceoloid in shape  and 2 to 3 mm long with slender beaks. The fruits have 4 to 12 ribs that  have sharp edges. The silky pappi,  which form the parachutes, are white to silver-white in color and  around 6 mm wide. Plants typically have 24 or 40 pairs of chromosomes  but some plants have 16 or 32 chromosomes.[7]				Aster, Daisy (Asteraceae)	nonnative								yellow	head	radial	more	Apr, May, Jun, Jul, Aug, Sept, Oct, Nov	basal	simple	lobed, divided, obovate	coarsely toothed, lobed	yes	branched	round	hairless	33, 25	upright no/few branches, upright branching	singular		
Goat's rue, Rabbit pea, Virginia tephrosia	Tephrosia virginiana	Tephrosia virginiana, also known as Goat-rue or Goat's Rue, is a perennial dicot in familia Fabaceae. This subshrub has alternate compound leaves. Its leaves are imparipinnate, with relatively wide pinnae. All parts of the plant are pubescent giving it a silvery, hoary appearance. The terminal, compact racemes  of cream and deep pink flowers bloom May to August. This plant prefers  acidic soils, in part to full sun. It grows throughout the Midwest, New England and southeastern United States.[1] Not easy to propagate, this plant can be found in sand savannas,  open woods and glades, prairies and rocky soils. All tissues of this  plant are toxic, and should not be eaten by people or livestock. Crushed  stems were previously used as a fish poison.			Cracca latidens, Cracca mohrii, Cracca virginiana, Tephrosia holosericea, Tephrosia latidens, Tephrosia mohrii	Bean, Pea (Fabaceae)	native								pink, white, yellow	raceme	bilateral	5	Jun, Jul	alternate	pinnate	divided, elliptic	entire	yes	branched, parallel	round	hairy, fuzzy	51, 30	upright no/few branches, upright branching	bunches, singular		
purple meadow-rue, tall meadow-rue	Thalictrum dasycarpum					Buttercup (Ranunculaceae)	native								green, yellow	panicle	radial	5	Apr, May	alternate	trifoliate	divided, lobed	lobed	yes, no	branched	round	hairless	137, 36	upright no/few branches, upright branching	bunches, singular		
Field pennycress	Thlaspi arvense	Thlaspi arvense (common name Field Penny-cress) is a foetid Eurasian plant having round flat pods; naturalized throughout North America. It is also related to the Lepidium species in the cabbage family.				Mustard (Brassicaceae)	nonnative	hazardous							white	raceme	radial	4	Apr, May, Jun	alternate, basal	simple	lanceolate	coarsely toothed	no	branched	ridged	hairless	33, 15	upright no/few branches	bunches, singular		
Poison ivy, Common eastern poison ivy	Toxicodendron radicans	Toxicodendron radicans, commonly known as poison ivy (older synonyms are Rhus toxicodendron and Rhus radicans),[1] is a poisonous North American plant that is well known for its production of urushiol, a clear liquid compound found within the sap of the plant that causes an itching, irritation and sometimes painful rash in most people who touch it.[2] The plant is not a true ivy (Hedera). Poison ivy can be found growing in any of the following forms: as a trailing vine that is 10–25 centimetres (3.9–9.8 in) tallas a shrub up to 1.2 metres (3 ft 11 in) tallas a climbing vine that grows on trees or some other support			Toxicodendron negundo	Cashew (Anacardiaceae)	native	hazardous							yellow	panicle, raceme		5	May, Jun	alternate	trifoliate	divided, ovate	lobed	yes	branched	round	hairy, fuzzy, hairless	53, 38	sprawling, upright no/few branches, upright branching	bunches, singular, patches		
